"Manage Checkout Fields","Manage Checkout Fields"
"Enabled Checkout Fields","Enabled Checkout Fields"
"Disabled Checkout Fields","Disabled Checkout Fields"
"Gift wrap %1","Gift wrap %1"
"Gift Wrap","Gift Wrap"
"Delivery Date","Delivery Date"
"Delivery Time","Delivery Time"
System,System
"One Step Checkout","One Step Checkout"
"Fields information has been successfully updated","Fields information has been successfully updated"
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled.","Guest checkout is disabled."
Checkout,Checkout
"Customer is already registered","Customer is already registered"
"Your session has expired","Your session has expired"
"Registration: A letter with further instructions will be sent to your email.","Registration: A letter with further instructions will be sent to your email."
"Something went wrong with the registration.","Something went wrong with the registration."
"Could not save the fee: %1","Could not save the fee: %1"
"Fee with id ""%1"" does not exist.","Fee with id ""%1"" does not exist."
"Could not delete the fee: %1","Could not delete the fee: %1"
"Whole Order","Whole Order"
"Gift Message for %1 (optional)","Gift Message for %1 (optional)"
"We can't find the quote item.","We can't find the quote item."
Additional,Additional
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"Need more custom fields? Please consider 
    <a href=""https://amasty.com/order-attributes-for-magento-2.html"" target=""_blank"">Order Attributes</a> extension","Need more custom fields? Please consider 
    <a href=""https://amasty.com/order-attributes-for-magento-2.html"" target=""_blank"">Order Attributes</a> extension"
"Delivery Information","Delivery Information"
Field,Field
Label,Label
"Default Value","Default Value"
Width,Width
Required,Required
"Drop fields here","Drop fields here"
label,label
Loading...,Loading...
"Order details:","Order details:"
"Order Date:","Order Date:"
Comments,Comments
"Your order number is: %1.","Your order number is: %1."
"Your order # is: <span>%1</span>.","Your order # is: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"Continue Shopping","Continue Shopping"
"Choose an Option...","Choose an Option..."
"Delivery Date Info","Delivery Date Info"
"My billing and shipping address are the same","My billing and shipping address are the same"
Update,Update
Cancel,Cancel
Delivery,Delivery
"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
Qty,Qty
"View Details","View Details"
"Options Details","Options Details"
[edit],[edit]
To:,To:
From:,From:
Message:,Message:
"Place Order","Place Order"
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
Price,Price
"Method Title","Method Title"
"Carrier Title","Carrier Title"
Next,Next
"Sorry, no quotes are available for this order at this time","Sorry, no quotes are available for this order at this time"
"Gift messages has been successfully updated","Gift messages has been successfully updated"
Close,Close
"Select Date","Select Date"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"This is a required field.","This is a required field."
"No payment method selected","No payment method selected"
"Amasty One Step Checkout","Amasty One Step Checkout"
General,General
"Enable One Step Checkout","Enable One Step Checkout"
"Checkout Page Title","Checkout Page Title"
"Checkout Page Description","Checkout Page Description"
"Provide customers with important info about taxes (e.g. VAT) or any other payment specifics.<br/>HTML is allowed","Provide customers with important info about taxes (e.g. VAT) or any other payment specifics.<br/>HTML is allowed"
"Allow to edit products in the Order Summary","Allow to edit products in the Order Summary"
"Reload Shipping methods when coupon code is applied","Reload Shipping methods when coupon code is applied"
"Refresh payment methods & total upon the shipping address change","Refresh payment methods & total upon the shipping address change"
"Useful when the payment methods & taxes depend on the shipping address","Useful when the payment methods & taxes depend on the shipping address"
"Display 'Create an account' checkbox on checkout","Display 'Create an account' checkbox on checkout"
"'Create an account' checkbox is Checked by Default","'Create an account' checkbox is Checked by Default"
Geolocation,Geolocation
"Geo IP Location","Geo IP Location"
